Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
AdaBoost,0.9871280860941127,0.9627495369417576,0.974786413836216,0.7126984126984127,0.8803921568627451,0.787719298245614,0.9610600783772555,0.9549264295027007,0.9570169541693867,0.768,0.763,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.22749999999999998, 'n_estimators': 700, 'random_state': 25}",True,True,True,rus
AdaBoost,0.9807416513009629,0.9851821362420251,0.9829568788501026,0.8524590163934426,0.8156862745098039,0.8336673346693387,0.9685561151112004,0.9690817656919352,0.9687759014740197,0.817,0.817,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.155, 'n_estimators': 700, 'random_state': 25}",True,True,True,nm-3
AdaBoost,0.9821501846532622,0.9851821362420251,0.9836638241035651,0.8545454545454545,0.8294117647058824,0.8417910447761193,0.9700290424750202,0.970385546656733,0.9701873634112579,0.826,0.825,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.155, 'n_estimators': 1000, 'random_state': 25}",True,True,True,cnn
AdaBoost,0.9794715447154472,0.9917678534677917,0.9855813477860721,0.910913140311804,0.8019607843137255,0.8529718456725757,0.9729591986089361,0.9737381262804992,0.9729848035361405,0.841,0.839,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 1000, 'random_state': 25}",True,True,True,ros
AdaBoost,0.9800366673456916,0.9901214241613501,0.985053235053235,0.8956521739130435,0.807843137254902,0.8494845360824743,0.972021004903775,0.9728068541627863,0.9721755974158561,0.836,0.835,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 1000, 'random_state': 25}",True,True,True,smote
AdaBoost,0.9837381638534376,0.9835357069355835,0.9836369249768447,0.8434442270058709,0.8450980392156863,0.8442703232125366,0.9704116770230671,0.970385546656733,0.9703985254797695,0.828,0.828,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 900, 'random_state': 25}",True,True,True,adasyn
AdaBoost,0.9899560577526679,0.9736571310969335,0.9817389499896245,0.7830508474576271,0.9058823529411765,0.84,0.970302182310226,0.9672192214565096,0.9682752017134634,0.825,0.822,"{'algorithm': 'SAMME', 'base_estimator': None, 'learning_rate': 0.22749999999999998, 'n_estimators': 1000, 'random_state': 25}",False,True,True,rus
AdaBoost,0.9838029731528734,0.9125334430952871,0.9468289557975657,0.5069605568445475,0.8568627450980392,0.6370262390670554,0.9385078283740979,0.9072452970758056,0.91740087132512,0.614,0.588,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.08249999999999999, 'n_estimators': 900, 'random_state': 25}",False,True,True,nm-3
AdaBoost,0.9854448544485445,0.9892982095081292,0.9873677724145014,0.8940936863543788,0.8607843137254902,0.8771228771228771,0.9767674292803521,0.9770907059042653,0.9768956367097652,0.865,0.864,"{'algorithm': 'SAMME', 'base_estimator': None, 'learning_rate': 0.08249999999999999, 'n_estimators': 500, 'random_state': 25}",False,True,True,cnn
AdaBoost,0.9852820932134096,0.991973657131097,0.9886165521484976,0.9182389937106918,0.8588235294117647,0.8875379939209727,0.9789136855497134,0.979325758986776,0.9790151245649554,0.877,0.876,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 1000, 'random_state': 25}",False,True,True,ros
AdaBoost,0.9854924397221088,0.9925910681210125,0.9890290167128063,0.9242105263157895,0.8607843137254902,0.8913705583756345,0.9796712857200185,0.9800707766809462,0.9797524635833674,0.881,0.88,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.08249999999999999, 'n_estimators': 1000, 'random_state': 25}",False,True,True,smote
AdaBoost,0.9874433923425278,0.9872401728750771,0.9873417721518987,0.8786692759295499,0.8803921568627451,0.8795298726738493,0.9771109655646141,0.9770907059042653,0.9771007461258593,0.867,0.867,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.155, 'n_estimators': 700, 'random_state': 25}",False,True,True,adasyn
AdaBoost,0.9900967814539725,0.9053303148796048,0.9458181036336271,0.5032397408207343,0.9137254901960784,0.649025069637883,0.9438503499540747,0.9061277705345502,0.9176258057498816,0.636,0.6,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.22749999999999998, 'n_estimators': 700, 'random_state': 25}",True,True,False,rus
AdaBoost,0.9804744908671006,0.9611031076353159,0.9706921637913115,0.6881188118811881,0.8176470588235294,0.7473118279569892,0.9527036962530542,0.9474762525609983,0.9494733201937133,0.722,0.718,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 800, 'random_state': 25}",True,True,False,nm-3
AdaBoost,0.9819555182543013,0.963161144268368,0.9724675324675325,0.703150912106136,0.8313725490196079,0.761904761904762,0.9554719367427414,0.9506425777612219,0.9524662262676791,0.738,0.735,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 800, 'random_state': 25}",True,True,False,cnn
AdaBoost,0.9799752270850537,0.9769499897098168,0.9784602700195816,0.7866666666666666,0.8098039215686275,0.7980676328502415,0.9616128940969036,0.9610728254796052,0.9613248174294597,0.777,0.777,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.3, 'n_estimators': 1000, 'random_state': 25}",True,True,False,ros
