Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
Decision Tree,0.9876516464471404,0.9382589010084379,0.9623218997361478,0.601593625498008,0.888235294117647,0.7173396674584323,0.950980089232751,0.9335071707953064,0.9390510972661096,0.698,0.681,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,rus
Decision Tree,0.9740024183796856,0.9946491047540647,0.9842174931269728,0.9361179361179361,0.7470588235294118,0.8309705561613959,0.9704037806532017,0.9711305643509033,0.9696606039758378,0.822,0.815,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,nm-3
Decision Tree,0.9754663422546634,0.9901214241613501,0.9827392503319375,0.8901601830663616,0.7627450980392156,0.8215417106652588,0.9673631310074974,0.9685230024213075,0.9674271353701186,0.807,0.804,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,cnn
Decision Tree,0.9789581205311543,0.9862111545585511,0.9825712528193562,0.8586497890295358,0.7980392156862746,0.8272357723577236,0.9675300614762417,0.9683367479977649,0.9678159734311214,0.81,0.81,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,ros
Decision Tree,0.9764658145668492,0.9905330314879605,0.9834491213731099,0.8954545454545455,0.7725490196078432,0.8294736842105265,0.9687705738800779,0.9698267833861054,0.9688230321660104,0.816,0.813,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 7, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,smote
Decision Tree,0.9803962030540652,0.9777732043630376,0.9790829469345697,0.7934990439770554,0.8137254901960784,0.803484995159729,0.9626428875149937,0.9621903520208605,0.9624029403402004,0.783,0.783,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,True,adasyn
Decision Tree,0.9915522703273495,0.966248199217946,0.9787367104440274,0.7413249211356467,0.9215686274509803,0.8216783216783216,0.9677832354814252,0.962004097597318,0.9638177724163668,0.807,0.801,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,rus
Decision Tree,0.9830681354549163,0.9917678534677917,0.9873988320868763,0.9143468950749465,0.8372549019607843,0.8741044012282497,0.9765403215987449,0.9770907059042653,0.9766370217426967,0.863,0.862,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,nm-3
Decision Tree,0.9852247075723374,0.988063387528298,0.9866420057542129,0.8830645161290323,0.8588235294117647,0.8707753479125249,0.9755205359135396,0.9757869249394673,0.9756358601965186,0.858,0.857,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,cnn
Decision Tree,0.9843363561417972,0.9829182959456678,0.9836268149521161,0.839458413926499,0.8509803921568627,0.8451801363193767,0.9705744357600126,0.970385546656733,0.9704757987288534,0.829,0.829,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,ros
Decision Tree,0.9864615384615385,0.9897098168347397,0.9880830080131499,0.8987854251012146,0.8705882352941177,0.8844621513944223,0.9781332058458251,0.9783944868690632,0.9782400881257313,0.873,0.873,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,smote
Decision Tree,0.9882869692532943,0.9724223091171023,0.9802904564315352,0.7721088435374149,0.8901960784313725,0.8269581056466303,0.9677522618375561,0.9646116595269137,0.9657254538425426,0.81,0.807,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,True,adasyn
Decision Tree,0.986969964664311,0.9197365713109693,0.9521678917652072,0.5362663495838288,0.884313725490196,0.6676535899333826,0.9441577382364761,0.9163717638293909,0.925141947653784,0.649,0.623,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,rus
Decision Tree,0.9734675205855444,0.8759003910269603,0.9221102805763189,0.39518555667001004,0.7725490196078432,0.5228931652289316,0.9185366579301296,0.8660830694729,0.88418874419577,0.489,0.454,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,nm-3
Decision Tree,0.9797028667085165,0.9635727515949783,0.9715708653247561,0.7,0.8098039215686275,0.7509090909090909,0.9531339596454985,0.9489662879493388,0.9506102572130054,0.725,0.723,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,cnn
Decision Tree,0.9762051282051282,0.9794196336694793,0.9778097390589685,0.7975708502024291,0.7725490196078432,0.7848605577689243,0.9592367017232177,0.9597690445148073,0.9594815434065338,0.763,0.763,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,ros
Decision Tree,0.9785522788203753,0.9765383823832064,0.9775442933662958,0.7807692307692308,0.796078431372549,0.7883495145631068,0.9597649153437346,0.9593965356677221,0.9595727274900382,0.766,0.766,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,smote
Decision Tree,0.9794435215946844,0.9707758798106606,0.9750904392764858,0.7432188065099458,0.8058823529411765,0.773283160865475,0.9570045935460316,0.9551126839262433,0.9559208151398465,0.749,0.748,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",True,True,False,adasyn
Decision Tree,0.9919695688926459,0.9660423955546409,0.9788343238452716,0.7409733124018838,0.9254901960784314,0.8230165649520488,0.968127495729992,0.9621903520208605,0.9640332329464927,0.808,0.802,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,False,rus
Decision Tree,0.9886606760804451,0.9510187281333607,0.9694744571488513,0.6575539568345323,0.8960784313725491,0.75850622406639,0.9572089296070951,0.9457999627491153,0.9494346361631827,0.74,0.729,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 25, 'splitter': 'best'}",False,True,False,nm-3
