Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
KNN,0.9868393122479304,0.9567812307059066,0.9715778474399164,0.6808510638297872,0.8784313725490196,0.7671232876712328,0.9577735631897719,0.949338796796424,0.9521567586930307,0.747,0.739,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",True,True,True,rus
KNN,0.9785338193600648,0.9944433010907594,0.98642441563744,0.9373549883990719,0.792156862745098,0.8586609989373009,0.9746222522544388,0.9752281616688396,0.9742881998585108,0.849,0.845,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",True,True,True,nm-3
KNN,0.9804719283970708,0.991973657131097,0.9861892583120205,0.9139072847682119,0.8117647058823529,0.8598130841121495,0.9741489691400922,0.9748556528217546,0.9741848163597141,0.848,0.846,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",True,True,True,cnn
KNN,0.9827621588343936,0.9855937435686355,0.9841759145088368,0.8588709677419355,0.8352941176470589,0.8469184890656063,0.970993764821141,0.9713168187744459,0.9711378651558759,0.831,0.831,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",True,True,True,ros
KNN,0.9819635171141627,0.9860053508952459,0.9839802834257547,0.8612244897959184,0.8274509803921568,0.844,0.9704945463687157,0.9709443099273608,0.9706835904573927,0.828,0.828,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",True,True,True,smote
KNN,0.985495059911709,0.9648075735748096,0.9750415973377704,0.7205882352941176,0.8647058823529412,0.7860962566844919,0.960331625276773,0.9552989383497859,0.9570937255305116,0.765,0.761,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",True,True,True,adasyn
KNN,0.9899602593599666,0.9740687384235439,0.9819502074688797,0.7857142857142857,0.9058823529411765,0.8415300546448088,0.9705589841580115,0.9675917303035947,0.9686117314136969,0.826,0.824,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",False,True,True,rus
KNN,0.984282506634007,0.9923852644577074,0.9883172781307645,0.9212765957446809,0.8490196078431372,0.883673469387755,0.9782975905316497,0.9787669957161482,0.9783771882706538,0.873,0.872,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",False,True,True,nm-3
KNN,0.9844070578580222,0.9874459765383824,0.9859241754854617,0.8767676767676768,0.8509803921568627,0.8636815920398009,0.9741824193115375,0.9744831439746694,0.9743123823103292,0.85,0.85,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",False,True,True,cnn
KNN,0.9864532019704434,0.989092405844824,0.9877710410029802,0.8933601609657947,0.8705882352941177,0.881827209533267,0.9776103167194895,0.9778357235984355,0.9777074623012566,0.87,0.87,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",False,True,True,ros
KNN,0.9876365134968061,0.9864169582218564,0.9870263591433279,0.872093023255814,0.8823529411764706,0.8771929824561403,0.9766610655506511,0.9765319426336375,0.9765933134904194,0.864,0.864,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",False,True,True,smote
KNN,0.9877482044782425,0.9623379296151472,0.9748775148545815,0.7118110236220473,0.8862745098039215,0.7895196506550218,0.9615369989955346,0.9551126839262433,0.9572704165603413,0.77,0.765,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",False,True,True,adasyn
KNN,0.9871094603452043,0.9298209508129245,0.9576091564222129,0.5694444444444444,0.884313725490196,0.6927803379416282,0.9474355623922546,0.9254982305829763,0.9324531315711982,0.673,0.653,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",True,True,False,rus
KNN,0.9755899104963385,0.987034369211772,0.9812787723785167,0.8609271523178808,0.7647058823529411,0.8099688473520249,0.9646981230739111,0.9659154404917116,0.9650060843987232,0.793,0.791,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",True,True,False,nm-3
KNN,0.9778960294719607,0.9833299032722782,0.9806054386865058,0.8322981366459627,0.788235294117647,0.8096676737160121,0.9640657211573287,0.9647979139504563,0.9643681020996272,0.791,0.79,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",True,True,False,cnn
KNN,0.9796212433100041,0.9794196336694793,0.9795204281156735,0.8043052837573386,0.8058823529411765,0.8050930460333007,0.9629680230880151,0.9629353697150307,0.9629516136507804,0.785,0.785,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",True,True,False,ros
KNN,0.97959604286892,0.9781848116896481,0.9788899186489548,0.7949709864603481,0.8058823529411765,0.8003894839337877,0.9620585538079456,0.9618178431737754,0.9619342059082702,0.779,0.779,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",True,True,False,smote
KNN,0.981574539363484,0.9648075735748096,0.9731188375713544,0.7116357504215851,0.8274509803921568,0.7651858567543064,0.9559331196651477,0.9517601043024772,0.9533673344577961,0.741,0.738,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",True,True,False,adasyn
KNN,0.9894214162348878,0.9431981889277629,0.9657570329786114,0.6255088195386703,0.903921568627451,0.739374498797113,0.9548534474669477,0.9394673123486683,0.9442530112925313,0.722,0.706,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",False,True,False,rus
KNN,0.9774939172749392,0.9921794607944021,0.9847819426003472,0.9130434782608695,0.7823529411764706,0.8426610348468849,0.9713717857984675,0.9722480908921587,0.9712819122493944,0.831,0.828,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",False,True,False,nm-3
KNN,0.9801676548763034,0.9866227618851615,0.9833846153846154,0.8640167364016736,0.8098039215686275,0.8360323886639677,0.9691345074704436,0.9698267833861054,0.9693876633213765,0.82,0.819,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",False,True,False,cnn
KNN,0.9805407619827939,0.9851821362420251,0.982855969612976,0.8521560574948666,0.8137254901960784,0.8324974924774322,0.9683455302284927,0.9688955112683926,0.968573454556331,0.816,0.815,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",False,True,False,ros
KNN,0.9821465216499077,0.9849763325787199,0.9835593916974927,0.8528225806451613,0.8294117647058824,0.8409542743538768,0.9698620720480413,0.9701992922331906,0.9700133663957151,0.825,0.825,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",False,True,False,smote
KNN,0.9841034336583298,0.9555464087260753,0.9696147018899447,0.6682027649769585,0.8529411764705882,0.7493540051679587,0.9540961062179312,0.9457999627491153,0.9486921920504564,0.726,0.719,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",False,True,False,adasyn
KNN,0.9890792291220557,0.9506071208067504,0.9694616434043447,0.6566523605150214,0.9,0.7593052109181141,0.9575020819830005,0.9457999627491153,0.9494989351592381,0.741,0.73,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,rus
KNN,0.9790607847123399,0.9911504424778761,0.9850685211699735,0.9044444444444445,0.7980392156862746,0.8479166666666668,0.9719729967561791,0.9728068541627863,0.9720404999748371,0.835,0.833,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,nm-3
KNN,0.9806241076891699,0.9895040131714344,0.9850440483507478,0.8905579399141631,0.8137254901960784,0.8504098360655739,0.972068744387763,0.9728068541627863,0.9722551773756242,0.837,0.835,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,cnn
KNN,0.9824416442883702,0.9788022226795637,0.980618556701031,0.8049242424242424,0.8333333333333334,0.8188824662813103,0.9655793095983526,0.9649841683739989,0.9652552849345833,0.8,0.8,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,ros
KNN,0.9813448134481345,0.9851821362420251,0.9832597309232823,0.8533604887983707,0.8215686274509804,0.837162837162837,0.9691876136769705,0.9696405289625628,0.9693820226316401,0.821,0.82,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,smote
KNN,0.9852662597347926,0.9633669479316732,0.9741935483870967,0.7119741100323624,0.8627450980392157,0.7801418439716312,0.9593063051160108,0.9538089029614454,0.9557606243319863,0.759,0.755,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,True,adasyn
KNN,0.9906720373118507,0.9617205186252316,0.9759816207184628,0.7147239263803681,0.9137254901960784,0.802065404475043,0.964459793583958,0.9571614825852114,0.9594613617718911,0.786,0.778,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,rus
KNN,0.985172981878089,0.9845647252521095,0.9848687596500257,0.8538011695906432,0.8588235294117647,0.8563049853372433,0.9726940054827458,0.9726205997392438,0.9726565180967535,0.841,0.841,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,nm-3
KNN,0.9870103092783505,0.9851821362420251,0.9860953754248636,0.861271676300578,0.8764705882352941,0.868804664723032,0.9750664272111752,0.9748556528217546,0.9749539594334434,0.855,0.855,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,cnn
KNN,0.9859446052087639,0.9816834739658366,0.9838094255955449,0.832391713747646,0.8666666666666667,0.8491834774255523,0.9713586535147481,0.9707580555038182,0.9710213396267059,0.833,0.833,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,ros
KNN,0.9870183391716464,0.9857995472319407,0.9864085667215816,0.8662790697674418,0.8764705882352941,0.8713450292397661,0.9755493454305131,0.9754144160923822,0.9754787093709155,0.858,0.858,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,smote
KNN,0.9877456158884429,0.9621321259518419,0.974770642201835,0.710691823899371,0.8862745098039215,0.788830715532286,0.9614283437866685,0.9549264295027007,0.9571082539355897,0.77,0.764,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,False,True,adasyn
KNN,0.9879014518257809,0.9242642519036839,0.9550239234449761,0.5528554070473876,0.8921568627450981,0.6826706676669168,0.9465765341805992,0.9212143788414975,0.9291531541309864,0.664,0.641,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,False,rus
KNN,0.9747762408462164,0.9862111545585511,0.980460358056266,0.8520971302428256,0.7568627450980392,0.8016614745586709,0.9631229820628807,0.9644254051033712,0.9634762957385581,0.784,0.782,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,False,nm-3
KNN,0.9782786885245902,0.9825066886190574,0.9803881301981723,0.8261758691206544,0.792156862745098,0.8088088088088088,0.9638304788214783,0.9644254051033712,0.9640898523236006,0.789,0.789,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",True,False,False,cnn
