Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
Logistic Regression,0.9853906415413932,0.9578102490224326,0.9714047171780421,0.6826625386996904,0.8647058823529412,0.7629757785467128,0.9566345729160873,0.9489662879493388,0.9516061031527155,0.741,0.735,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,rus
Logistic Regression,0.9805128205128205,0.9837415105988887,0.9821245120197247,0.840080971659919,0.8137254901960784,0.8266932270916335,0.9671732334547128,0.9675917303035947,0.9673601321885966,0.809,0.809,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l1', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,nm-3
Logistic Regression,0.9805845084815041,0.9874459765383824,0.9840032813781787,0.8718487394957983,0.8137254901960784,0.8417849898580122,0.9702557243163504,0.9709443099273608,0.9704940005669876,0.826,0.826,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,cnn
Logistic Regression,0.976904376012966,0.9923852644577074,0.9845839714139868,0.9145496535796767,0.7764705882352941,0.8398727465535526,0.9709813161431621,0.9718755820450735,0.9708378874730628,0.828,0.825,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,ros
Logistic Regression,0.9773003648155655,0.9923852644577074,0.9847850505463086,0.9149425287356322,0.7803921568627451,0.8423280423280424,0.9713770091812265,0.9722480908921587,0.9712530940942103,0.83,0.827,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,smote
Logistic Regression,0.9805845084815041,0.9874459765383824,0.9840032813781787,0.8718487394957983,0.8137254901960784,0.8417849898580122,0.9702557243163504,0.9709443099273608,0.9704940005669876,0.826,0.826,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,True,adasyn
Logistic Regression,0.9922252574070183,0.9718048981271866,0.9819089207735496,0.7754098360655738,0.9274509803921569,0.8446428571428573,0.9716300134353035,0.9675917303035947,0.9688700508812692,0.831,0.827,"{'C': 0.3020408163265306, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,True,rus
Logistic Regression,0.986603462489695,0.9851821362420251,0.9858922870971064,0.8607350096711799,0.8725490196078431,0.866601752677702,0.9746472488675227,0.9744831439746694,0.9745609083386977,0.853,0.852,"{'C': 3.1306122448979594, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,True,nm-3
Logistic Regression,0.9874717601150134,0.9895040131714344,0.9884868421052632,0.898,0.8803921568627451,0.889108910891089,0.9789728594521978,0.9791395045632334,0.9790469566667775,0.878,0.878,"{'C': 5.555102040816326, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,True,cnn
Logistic Regression,0.9868852459016394,0.9911504424778761,0.9890132457131123,0.9120654396728016,0.8745098039215686,0.8928928928928929,0.9797781307634931,0.9800707766809462,0.9798827968514413,0.882,0.882,"{'C': 3.736734693877551, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,True,ros
