Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
Random Forest,0.9924098671726755,0.9687178431776086,0.9804207456779837,0.7571884984025559,0.9294117647058824,0.834507042253521,0.9700662467456386,0.9649841683739989,0.9665604385916593,0.821,0.815,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,rus
Random Forest,0.9850959575336872,0.993002675447623,0.9890335143999179,0.9278131634819533,0.8568627450980392,0.8909276248725789,0.9796546789033307,0.9800707766809462,0.9797144598908953,0.881,0.88,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,nm-3
Random Forest,0.9876492383696994,0.9874459765383824,0.9875475969949572,0.8806262230919765,0.8823529411764706,0.881488736532811,0.9774831482613666,0.9774632147513503,0.9774730917173088,0.869,0.869,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,cnn
Random Forest,0.9862704918032786,0.9905330314879605,0.9883971660334736,0.9059304703476483,0.8686274509803922,0.8868868868868869,0.9786390127676348,0.9789532501396908,0.9787547293851668,0.876,0.875,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,ros
Random Forest,0.9878874974337918,0.9903272278246553,0.9891058581706064,0.9056224899598394,0.884313725490196,0.8948412698412699,0.9800731644459514,0.9802570311044887,0.9801516879251302,0.884,0.884,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,smote
Random Forest,0.989665150888797,0.9853879399053304,0.9875219139940188,0.8662900188323918,0.9019607843137255,0.8837656099903938,0.9779457771974639,0.9774632147513503,0.9776661279925569,0.872,0.871,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,adasyn
Random Forest,0.9924066652604936,0.9683062358509982,0.9802083333333333,0.7547770700636943,0.9294117647058824,0.8330404217926186,0.9698342879927776,0.9646116595269137,0.9662288893240645,0.819,0.813,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,rus
Random Forest,0.9850898692810458,0.9925910681210125,0.9888262429523322,0.9238900634249472,0.8568627450980392,0.8891149542217701,0.9792765146551172,0.979698267833861,0.979354691964702,0.879,0.878,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,nm-3
Random Forest,0.9876644736842105,0.9886807985182137,0.988172374781446,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.9784908033481343,0.9785807412926057,0.9785334918665523,0.875,0.875,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,cnn
Random Forest,0.985661614092585,0.9903272278246553,0.9879889128426239,0.9034907597535934,0.8627450980392157,0.8826479438314945,0.9778562246880618,0.9782082324455206,0.9779825998987468,0.871,0.871,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,ros
Random Forest,0.9870742716454657,0.9901214241613501,0.988595499845885,0.9030303030303031,0.8764705882352941,0.8895522388059701,0.9790909555728763,0.979325758986776,0.9791874046455952,0.878,0.878,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,smote
Random Forest,0.9890563700185835,0.9857995472319407,0.9874252731395589,0.8688212927756654,0.8960784313725491,0.8822393822393824,0.9776352693678314,0.9772769603278078,0.9774336910276032,0.87,0.87,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,True,adasyn
Random Forest,0.9928194297782471,0.9674830211977773,0.979987492182614,0.750788643533123,0.9333333333333333,0.8321678321678322,0.9698289844467117,0.9642391506798287,0.9659461387448158,0.818,0.812,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 25, 'verbose': 0, 'warm_start': False}",False,True,False,rus
