Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
SVC,0.9914547728220092,0.9790080263428689,0.9851920886403644,0.8213660245183888,0.9196078431372549,0.8677150786308974,0.9752980841211625,0.9733656174334141,0.9740329761231679,0.855,0.853,"{'C': 0.8, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,rus
SVC,0.985429919967166,0.9882691911916032,0.9868475133579943,0.8850806451612904,0.8607843137254902,0.8727634194831014,0.9758977668379061,0.9761594337865525,0.9760106931165722,0.86,0.86,"{'C': 0.8, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,nm-3
SVC,0.9870636550308008,0.9892982095081292,0.9881796690307328,0.8957915831663327,0.8764705882352941,0.8860257680872152,0.9783937431941685,0.9785807412926057,0.978476094904975,0.874,0.874,"{'C': 1.0843224043318138, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,cnn
SVC,0.9852670349907919,0.9909446388145708,0.9880976810999385,0.9087136929460581,0.8588235294117647,0.8830645161290321,0.9779952517084648,0.9783944868690632,0.9781206063867401,0.872,0.871,"{'C': 0.9797958971132713, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,ros
SVC,0.9854657113613101,0.9907388351512657,0.9880952380952381,0.9070247933884298,0.8607843137254902,0.8832997987927564,0.9780146277021242,0.9783944868690632,0.97814074488528,0.872,0.871,"{'C': 1.0843224043318138, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,smote
SVC,0.9890631448617416,0.9864169582218564,0.9877382792375065,0.8738049713193117,0.8960784313725491,0.8848015488867377,0.9781147990791677,0.9778357235984355,0.9779603443373588,0.873,0.873,"{'C': 1.2, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,True,True,adasyn
SVC,0.9885726158321213,0.9792138300061741,0.9838709677419355,0.8183453237410072,0.8921568627450981,0.853658536585366,0.9724027668907043,0.9709443099273608,0.971502120677333,0.839,0.838,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,rus
SVC,0.982520325203252,0.9948549084173698,0.9886491461294611,0.9443207126948775,0.8313725490196079,0.8842544316996871,0.9788917533315309,0.979325758986776,0.9787327176773871,0.875,0.873,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,nm-3
SVC,0.9840490797546012,0.9903272278246553,0.9871781721202174,0.9018789144050104,0.8470588235294118,0.8736097067745198,0.976243755797013,0.9767181970571801,0.9763903313069737,0.861,0.861,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,cnn
SVC,0.9832755455843362,0.9921794607944021,0.9877074370006147,0.9184549356223176,0.8392156862745098,0.8770491803278688,0.9771182516598381,0.9776494691748929,0.9771960361991432,0.866,0.865,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,ros
SVC,0.9838808406447663,0.9923852644577074,0.9881147540983607,0.9209401709401709,0.8450980392156863,0.8813905930470347,0.9779021217866282,0.9783944868690632,0.9779770520800751,0.871,0.87,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,smote
SVC,0.9850348503485035,0.9888866021815188,0.9869569682653796,0.890020366598778,0.8568627450980392,0.8731268731268732,0.9760094477200139,0.976345688210095,0.9761442753019528,0.86,0.86,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 25, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,False,True,adasyn
