Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
Gradient Boosting,0.9927721088435374,0.9611031076353159,0.9766809578584126,0.7157894736842105,0.9333333333333333,0.8102127659574467,0.9664615959116587,0.9584652635500093,0.9608681849268624,0.796,0.787,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.7, 'colsample_bytree': 0.7, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 50, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,rus
Gradient Boosting,0.9858345308971463,0.9882691911916032,0.9870503597122301,0.8855421686746988,0.8647058823529412,0.8750000000000001,0.9763077838803,0.9765319426336375,0.9764067233827018,0.862,0.862,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.7, 'colsample_bytree': 0.6, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 50, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,nm-3
Gradient Boosting,0.9876492383696994,0.9874459765383824,0.9875475969949572,0.8806262230919765,0.8823529411764706,0.881488736532811,0.9774831482613666,0.9774632147513503,0.9774730917173088,0.869,0.869,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.6, 'colsample_bytree': 0.7, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,cnn
Gradient Boosting,0.9856645504812616,0.9905330314879605,0.9880927940874563,0.9053497942386831,0.8627450980392157,0.8835341365461848,0.978035471382041,0.9783944868690632,0.9781607927192224,0.872,0.872,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.7, 'colsample_bytree': 0.7, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 4, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 1000, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,ros
Gradient Boosting,0.9876923076923076,0.9909446388145708,0.9893158002876514,0.9109311740890689,0.8823529411764706,0.8964143426294822,0.9804007863405378,0.9806295399515739,0.9804911134920345,0.886,0.886,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.7, 'colsample_bytree': 0.7, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 4, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 1000, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,smote
Gradient Boosting,0.9898655635987591,0.9849763325787199,0.9874148958118424,0.8632958801498127,0.903921568627451,0.8831417624521072,0.9778427402500978,0.9772769603278078,0.9775100163159465,0.871,0.871,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 0.7, 'colsample_bynode': 0.7, 'colsample_bytree': 0.7, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 4, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 1000, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 0.7, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'rate_drop': 0.03}",False,True,True,adasyn
Gradient Boosting,0.9927520784480921,0.9584276600123482,0.9752879581151833,0.7020648967551623,0.9333333333333333,0.8013468013468013,0.9651397739848039,0.9560439560439561,0.9587653300742306,0.787,0.777,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,rus
Gradient Boosting,0.9842468709538196,0.9386705083350484,0.9609185715790584,0.5945578231292517,0.8568627450980392,0.7020080321285141,0.9472304033824785,0.9308996088657105,0.9363247226090867,0.679,0.664,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,nm-3
Gradient Boosting,0.9861855670103092,0.9843589215888042,0.9852713976722628,0.8535645472061657,0.8686274509803922,0.8610301263362488,0.9735879286977532,0.9733656174334141,0.973469749622092,0.846,0.846,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,cnn
Gradient Boosting,0.9846594395581919,0.9907388351512657,0.9876897825194912,0.90625,0.8529411764705882,0.8787878787878787,0.9772113460259367,0.9776494691748929,0.9773452172553596,0.867,0.866,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,ros
Gradient Boosting,0.9856527977044476,0.9897098168347397,0.9876771410967345,0.8979591836734694,0.8627450980392157,0.8799999999999999,0.9773228027042987,0.9776494691748929,0.9774489157364561,0.868,0.868,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,smote
Gradient Boosting,0.9888314374353672,0.9839473142621938,0.9863833298947804,0.8539325842696629,0.8941176470588236,0.8735632183908046,0.9760174282875727,0.9754144160923822,0.9756665750303685,0.86,0.86,"{'objective': 'binary:logistic', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 25, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None}",False,False,True,adasyn
